Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.22557526943779E-08,1.22018958084312E-08,0.0092810773127755,0,0,0,0.128593564789838,7.45536846359304E-05,6.46650347197829E-13,-5.32544392988639E-12,7.45536877822406E-05,-6.57767819984515E-11,0.000137966503510752,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/base_link.STL,,Base-1;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-1;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-1,Frame0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-1.85892788255806E-08,0.00775841135748858,-0.0323463053242845,0,0,0,0.123121051172828,0.000126849219231024,-6.45135493896353E-12,5.33608551744657E-11,0.000131362281302474,-2.00145092206431E-05,3.73736976606538E-05,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link1.STL,,Link-1;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-2;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-1;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-4;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-3,Frame1,Axis1 <Link-1>,joint1,revolute,0,0,0.10319,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,-1.68476417454727E-08,0.0317343543085794,0.00745949851290703,0,0,0,0.125495294944391,0.000128102613852571,-5.22874941598043E-11,2.33703270569435E-11,3.80907213341547E-05,1.996738147207E-05,0.000131914555403081,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link2.STL,,Link-2;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-2;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-2;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-5;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-6,Frame2,Axis2 <Link-2>,joint2,revolute,0,0,0,1.5708,0,0,link1,0,0,-1,0,0,0,0,,,,,,,,
link3,-1.23437792442106E-08,0.00885187226136737,-0.0593498418344666,0,0,0,0.162649767092968,0.000384901372328097,4.07977785051178E-13,-6.61204349892496E-11,0.000394315089859218,-3.59136506465118E-05,4.68839643301925E-05,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link3.STL,,Link-3;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-3;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-3;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-9;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-8,Frame3,Axis1 <Link-3>,joint3,revolute,0,0.20479,0,-1.5708,0,0,link2,0,0,1,0,0,0,0,,,,,,,,
link4,-2.23906566844437E-08,0.0317343152974587,0.00745949851290702,0,0,0,0.125495294944391,0.000128102613982611,-5.19540681069413E-11,-4.06975266434054E-11,3.80907212041146E-05,1.99672577369089E-05,0.00013191455540308,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link4.STL,,Link-4;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-4;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-4;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-11;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-10,Frame4,Axis2 <Link-4>,joint4,revolute,0,0,0,1.5707963267949,0,0,link3,0,0,-1,0,0,0,0,,,,,,,,
link5,-1.47136134657301E-09,0.00885185273884695,-0.059349841825483,0,0,0,0.162649767077565,0.000384901369108547,5.87523367619801E-13,-3.11948432407316E-11,0.000394315093078619,-3.59137084063457E-05,4.68839643301035E-05,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link5.STL,,Link-5;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-5;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-5;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-13;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-12,Frame5,Axis1 <Link-5>,joint5,revolute,0,0.2047875,0,-1.5707963267949,0,0,link4,0,0,1,0,0,0,0,,,,,,,,
link6,8.84933874689691E-10,0.0317343149617446,0.00745949851290702,0,0,0,0.125495294944391,0.000128102615380365,-5.46457686054436E-11,2.70800504357616E-11,3.80907198063605E-05,1.99672602664282E-05,0.000131914555403081,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link6.STL,,Link-6;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-6;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-6;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-15;1677K1_Ultra-Low-Friction Oil-Embedded Sleeve Bearing-14,Frame6,Axis2 <Link-6>,joint6,revolute,0,0,0,1.5707963267949,0,0,link5,0,0,-1,0,0,0,0,,,,,,,,
link7,5.87774322886357E-08,5.34790418483191E-09,-0.0133863430450704,0,0,0,0.0477760977622199,1.03742535103201E-05,-1.05535573516503E-12,6.27195878369039E-11,1.03742502286753E-05,-3.28525526936077E-11,1.48894457745127E-05,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://ManipulatorUrdf/meshes/link7.STL,,End-1;91257A551_Zinc Yellow-Chromate Plated Hex Head Screw-7;94945A205_High-Strength Steel Thin Nylon-Insert Locknut-7,Frame7,Axis1 <End-1>,joint7,revolute,0,0.1031875,0,-1.5707963267949,0,0,link6,0,0,1,0,0,0,0,,,,,,,,
